frame_time;clinton_anger;clinton_contempt;clinton_disgust;clinton_fear;clinton_happiness;clinton_neutral;clinton_sadness;clinton_surprise;clinton_visible;;frame_time;trump_anger;trump_contempt;trump_disgust;trump_fear;trump_happiness;trump_neutral;trump_sadness;trump_surprise;trump_visible;url
460;0.000724314246;0.00350734661;0.000734902162;0.000371082715;0.0294766985;0.922212243;0.0114381947;0.03153522;True;;460;0.09580709;0.00632514339;0.04147084;0.00377424038;0.0002878242;0.668176651;0.0575188249;0.1266394;True;https://s3-us-west-2.amazonaws.com/debateinemotion/debate1/frame460.jpg
465;0.000180294286;0.00174038473;0.000266299176;0.0001087112;0.00134965242;0.9820762;0.007277445;0.007001;True;;465;0.04325156;0.0111425705;0.00682616932;2.11820679e-05;1.59341653e-06;0.155481026;0.783267856;8.048276e-06;True;https://s3-us-west-2.amazonaws.com/debateinemotion/debate1/frame465.jpg
470;0.000104400817;0.0061792885;0.001131521;2.182133e-05;0.251623273;0.7340411;0.00390080921;0.00299781049;True;;470;0.07926322;0.0289318375;0.00583341345;9.247889e-06;1.538006e-05;0.314316541;0.571622252;8.08536e-06;True;https://s3-us-west-2.amazonaws.com/debateinemotion/debate1/frame470.jpg
475;0.00021769313;0.002893587;0.000230823964;1.15794428e-05;0.0475146472;0.938031137;0.000691651832;0.010408855;True;;475;0.10066431;0.005457083;0.00545914425;6.9935636e-06;2.401525e-07;0.12470255;0.7637027;6.992777e-06;True;https://s3-us-west-2.amazonaws.com/debateinemotion/debate1/frame475.jpg
480;0.000530152;0.09607489;0.0004261622;1.25445445e-06;0.5452552;0.355661064;0.00201010983;4.11769e-05;True;;480;0.169674546;0.0126977563;0.00297773583;6.983499e-06;1.48720176e-06;0.3978511;0.4167834;6.990429e-06;True;https://s3-us-west-2.amazonaws.com/debateinemotion/debate1/frame480.jpg
485;0.0003199074;0.06977572;0.000576032151;1.01557243e-05;0.348136455;0.5627048;0.0183422733;0.000134643473;True;;485;0.012226331;0.004699079;0.00790233351;6.861104e-05;0.00328063918;0.9481996;0.00382403121;0.0197993387;True;https://s3-us-west-2.amazonaws.com/debateinemotion/debate1/frame485.jpg
490;0.00025763805;0.0007244654;0.000234789826;7.70943443e-05;0.08889518;0.8616432;0.0261326171;0.02203504;True;;490;0.0117199849;0.143182471;0.0124726351;0.0006101226;0.00746535044;0.7294809;0.0932231843;0.00184533314;True;https://s3-us-west-2.amazonaws.com/debateinemotion/debate1/frame490.jpg
495;;;;;;;;;False;;495;0.205415323;0.0218049046;0.0469975956;0.000297144841;0.00410010433;0.6819166;0.00246735453;0.037000984;True;https://s3-us-west-2.amazonaws.com/debateinemotion/debate1/frame495.jpg
500;;;;;;;;;False;;500;0.053417597;0.0101415245;0.0181639213;0.003150654;9.910158e-05;0.856335342;0.0412331037;0.01745878;True;https://s3-us-west-2.amazonaws.com/debateinemotion/debate1/frame500.jpg
505;;;;;;;;;False;;505;0.1903804;0.0161008;0.07030478;0.00160508882;0.002585192;0.6403225;0.0111749172;0.06752629;True;https://s3-us-west-2.amazonaws.com/debateinemotion/debate1/frame505.jpg
