frame_time,trump_anger,trump_contempt,trump_disgust,trump_fear,trump_happiness,trump_neutral,trump_sadness,trump_surprise,url
58,0.028773854,0.007499268,0.04265538,0.002425486,0.3181123,0.559967935,0.03147959,0.009086203,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation58.jpg
59,0.001117923,0.101931646,0.002510914,9.32E-05,0.395236433,0.453221619,0.045707606,0.000180672,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation59.jpg
60,0.00261009,0.006953786,0.007191237,0.000167477,0.291340262,0.666396856,0.010638698,0.014701579,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation60.jpg
61,0.01120073,0.014786812,0.014558965,0.000494677,0.0336471,0.7959474,0.126833111,0.002531241,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation61.jpg
62,0.014355027,0.006434897,0.017075099,0.000296539,0.029961219,0.845732,0.008363341,0.07778192,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation62.jpg
63,0.013561959,0.031592716,0.027957637,0.00586302,0.01625363,0.7056862,0.162782863,0.03630194,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation63.jpg
64,0.015045447,0.008576882,0.007158869,0.005320852,0.019234853,0.878958941,0.03257807,0.033126086,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation64.jpg
65,0.00467721,0.006111319,0.000706,1.70E-05,0.000162025,0.935132146,0.05313139,6.30E-05,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation65.jpg
66,0.055407297,0.010464764,0.027879782,0.004960101,0.014065197,0.5466197,0.013727039,0.3268761,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation66.jpg
67,0.006343158,0.008003704,0.009537758,0.008941995,0.132215828,0.4237357,0.024872605,0.386349261,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation67.jpg
68,0.003640645,0.008270213,0.002340493,0.021238359,0.1341214,0.6355401,0.021265598,0.173583135,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation68.jpg
69,0.00090639,0.00829563,0.003644642,0.00226812,0.08506659,0.7949248,0.048375137,0.05651868,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation69.jpg
70,0.006223441,0.002916123,0.001205365,0.000838712,0.008253555,0.904271364,0.071713835,0.004577601,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation70.jpg
71,0.01936159,0.004057957,0.002418995,0.001517813,0.002085628,0.925775945,0.034530286,0.010251794,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation71.jpg
72,0.004788825,0.00658819,0.00186234,7.47E-05,0.000208815,0.9619947,0.023658037,0.00082444,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation72.jpg
73,0.3106897,0.015607307,0.020277526,0.023658903,0.000783896,0.4756164,0.023923272,0.12944299,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation73.jpg
74,0.008111558,0.018751774,0.007091252,0.000458293,0.013485932,0.852387965,0.011319303,0.08839395,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation74.jpg
75,0.000188956,0.00172821,7.09E-05,4.01E-06,8.92E-05,0.983334541,0.014529776,5.44E-05,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation75.jpg
76,0.000216392,0.002261444,1.75E-05,1.12E-06,6.46E-05,0.9951407,0.002258866,3.94E-05,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation76.jpg
77,0.002184099,0.192449778,0.011825901,7.04E-05,0.27815634,0.398367435,0.116607472,0.000338556,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation77.jpg
78,0.00108865,0.15160504,0.007321195,5.22E-05,0.360404968,0.220003963,0.259468436,5.56E-05,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation78.jpg
79,0.010401004,0.107907921,0.01353089,0.000532422,0.4703003,0.347200274,0.04913473,0.000992489,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation79.jpg
80,0.017757068,0.09562822,0.014921026,0.000100857,0.020747507,0.547484338,0.30324474,0.000116261,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation80.jpg
81,0.052348085,0.005022745,0.016580788,0.000440331,0.006462298,0.7576152,0.002151349,0.1593792,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation81.jpg
82,0.050425395,0.00417057,0.030982424,0.010219131,0.00263576,0.6593385,0.085424356,0.156803891,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation82.jpg
83,0.149485424,0.009938678,0.04980432,0.036923956,0.002187744,0.441971451,0.245234758,0.06445366,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation83.jpg
84,0.06360969,0.00525462,0.025090778,0.000455368,0.004569605,0.8163682,0.012586716,0.072064996,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation84.jpg
85,0.13627404,0.007455737,0.04498568,0.003931668,0.001022985,0.624856,0.076723665,0.104750223,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation85.jpg
86,0.215364814,0.017976187,0.10637632,0.003565099,0.001705244,0.378614873,0.2152296,0.06116787,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation86.jpg
87,0.002070852,0.005648972,9.05E-05,7.70E-06,0.000355861,0.9895193,0.002214216,9.26E-05,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation87.jpg
88,0.015150415,0.048307195,0.006565297,0.000327893,0.000442609,0.6167608,0.31176877,0.00067704,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation88.jpg
89,0.035698313,0.064215556,0.0095141,2.35E-05,0.000108539,0.7667465,0.12360543,8.80E-05,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation89.jpg
90,0.007389999,0.00598438,0.004832458,0.000226575,0.02298149,0.936619639,0.010614748,0.011350717,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation90.jpg
91,0.031230219,0.003454367,0.019312885,0.002400674,0.001090791,0.8192906,0.07434325,0.048877236,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation91.jpg
92,0.054415062,0.001875374,0.012567803,0.002128155,6.72E-05,0.7944305,0.035774898,0.098741025,https://s3-us-west-2.amazonaws.com/post-election/inauguration/inaugruation92.jpg
